[ 2012-09-09T19:20:25+08:00 ] /admin.php?a=docat&m=Html&page=1&mod=%E5%AA%92%E4%BD%93%E8%81%9A%E7%84%A6%2CArticle%2Cmeitijujiao%2C98%7C%E5%85%AC%E5%8F%B8%E6%96%B0%E9%97%BB%2CArticle%2Cgonsixinwen%2C2%7C%E5%91%98%E5%B7%A5%E9%A3%8E%E9%87%87%2CArticle%2Cygfc%2C111%7C%E5%91%98%E5%B7%A5%E7%85%A7%E7%89%87%2CArticle%2Cyuangong%2C114%7C%E5%85%AC%E5%8F%B8%E5%8A%A8%E6%80%81%2CArticle%2Cgongsidongtai%2C110 | SQL: SHOW COLUMNS FROM `yge_article` [ RunTime:0.004701s ]
[ 2012-09-09T19:20:25+08:00 ] /admin.php?a=docat&m=Html&page=1&mod=%E5%AA%92%E4%BD%93%E8%81%9A%E7%84%A6%2CArticle%2Cmeitijujiao%2C98%7C%E5%85%AC%E5%8F%B8%E6%96%B0%E9%97%BB%2CArticle%2Cgonsixinwen%2C2%7C%E5%91%98%E5%B7%A5%E9%A3%8E%E9%87%87%2CArticle%2Cygfc%2C111%7C%E5%91%98%E5%B7%A5%E7%85%A7%E7%89%87%2CArticle%2Cyuangong%2C114%7C%E5%85%AC%E5%8F%B8%E5%8A%A8%E6%80%81%2CArticle%2Cgongsidongtai%2C110 | SQL: SELECT COUNT(*) AS tp_count FROM `yge_article` WHERE category_id =98 LIMIT 1   [ RunTime:0.000510s ]
[ 2012-09-09T19:20:25+08:00 ] /admin.php?a=docat&m=Html&page=1&mod=%E5%AA%92%E4%BD%93%E8%81%9A%E7%84%A6%2CArticle%2Cmeitijujiao%2C98%7C%E5%85%AC%E5%8F%B8%E6%96%B0%E9%97%BB%2CArticle%2Cgonsixinwen%2C2%7C%E5%91%98%E5%B7%A5%E9%A3%8E%E9%87%87%2CArticle%2Cygfc%2C111%7C%E5%91%98%E5%B7%A5%E7%85%A7%E7%89%87%2CArticle%2Cyuangong%2C114%7C%E5%85%AC%E5%8F%B8%E5%8A%A8%E6%80%81%2CArticle%2Cgongsidongtai%2C110 | SQL: SHOW COLUMNS FROM `yge_category` [ RunTime:0.004453s ]
[ 2012-09-09T19:20:25+08:00 ] /admin.php?a=docat&m=Html&page=1&mod=%E5%AA%92%E4%BD%93%E8%81%9A%E7%84%A6%2CArticle%2Cmeitijujiao%2C98%7C%E5%85%AC%E5%8F%B8%E6%96%B0%E9%97%BB%2CArticle%2Cgonsixinwen%2C2%7C%E5%91%98%E5%B7%A5%E9%A3%8E%E9%87%87%2CArticle%2Cygfc%2C111%7C%E5%91%98%E5%B7%A5%E7%85%A7%E7%89%87%2CArticle%2Cyuangong%2C114%7C%E5%85%AC%E5%8F%B8%E5%8A%A8%E6%80%81%2CArticle%2Cgongsidongtai%2C110 | SQL: UPDATE `yge_category` SET `html_url`='html/Article/meitijujiao/index.html' WHERE ( `id` = '98' ) [ RunTime:0.000389s ]
[ 2012-09-09T19:20:25+08:00 ] /admin.php?a=docat&m=Html&page=1&mod=%E5%AA%92%E4%BD%93%E8%81%9A%E7%84%A6%2CArticle%2Cmeitijujiao%2C98%7C%E5%85%AC%E5%8F%B8%E6%96%B0%E9%97%BB%2CArticle%2Cgonsixinwen%2C2%7C%E5%91%98%E5%B7%A5%E9%A3%8E%E9%87%87%2CArticle%2Cygfc%2C111%7C%E5%91%98%E5%B7%A5%E7%85%A7%E7%89%87%2CArticle%2Cyuangong%2C114%7C%E5%85%AC%E5%8F%B8%E5%8A%A8%E6%80%81%2CArticle%2Cgongsidongtai%2C110 | NOTIC: [8] Undefined variable: arrt HtmlAction.class.php 第 404 行.
[ 2012-09-09T19:20:29+08:00 ] /admin.php?a=docat&m=Html&page=1&mod=%E5%AA%92%E4%BD%93%E8%81%9A%E7%84%A6%2CArticle%2Cmeitijujiao%2C98%7C%E5%85%AC%E5%8F%B8%E6%96%B0%E9%97%BB%2CArticle%2Cgonsixinwen%2C2%7C%E5%91%98%E5%B7%A5%E9%A3%8E%E9%87%87%2CArticle%2Cygfc%2C111%7C%E5%91%98%E5%B7%A5%E7%85%A7%E7%89%87%2CArticle%2Cyuangong%2C114%7C%E5%85%AC%E5%8F%B8%E5%8A%A8%E6%80%81%2CArticle%2Cgongsidongtai%2C110 | SQL: SHOW COLUMNS FROM `yge_article` [ RunTime:0.005030s ]
[ 2012-09-09T19:20:29+08:00 ] /admin.php?a=docat&m=Html&page=1&mod=%E5%AA%92%E4%BD%93%E8%81%9A%E7%84%A6%2CArticle%2Cmeitijujiao%2C98%7C%E5%85%AC%E5%8F%B8%E6%96%B0%E9%97%BB%2CArticle%2Cgonsixinwen%2C2%7C%E5%91%98%E5%B7%A5%E9%A3%8E%E9%87%87%2CArticle%2Cygfc%2C111%7C%E5%91%98%E5%B7%A5%E7%85%A7%E7%89%87%2CArticle%2Cyuangong%2C114%7C%E5%85%AC%E5%8F%B8%E5%8A%A8%E6%80%81%2CArticle%2Cgongsidongtai%2C110 | SQL: SELECT COUNT(*) AS tp_count FROM `yge_article` WHERE category_id =2 LIMIT 1   [ RunTime:0.000486s ]
[ 2012-09-09T19:20:29+08:00 ] /admin.php?a=docat&m=Html&page=1&mod=%E5%AA%92%E4%BD%93%E8%81%9A%E7%84%A6%2CArticle%2Cmeitijujiao%2C98%7C%E5%85%AC%E5%8F%B8%E6%96%B0%E9%97%BB%2CArticle%2Cgonsixinwen%2C2%7C%E5%91%98%E5%B7%A5%E9%A3%8E%E9%87%87%2CArticle%2Cygfc%2C111%7C%E5%91%98%E5%B7%A5%E7%85%A7%E7%89%87%2CArticle%2Cyuangong%2C114%7C%E5%85%AC%E5%8F%B8%E5%8A%A8%E6%80%81%2CArticle%2Cgongsidongtai%2C110 | SQL: SHOW COLUMNS FROM `yge_category` [ RunTime:0.004587s ]
[ 2012-09-09T19:20:29+08:00 ] /admin.php?a=docat&m=Html&page=1&mod=%E5%AA%92%E4%BD%93%E8%81%9A%E7%84%A6%2CArticle%2Cmeitijujiao%2C98%7C%E5%85%AC%E5%8F%B8%E6%96%B0%E9%97%BB%2CArticle%2Cgonsixinwen%2C2%7C%E5%91%98%E5%B7%A5%E9%A3%8E%E9%87%87%2CArticle%2Cygfc%2C111%7C%E5%91%98%E5%B7%A5%E7%85%A7%E7%89%87%2CArticle%2Cyuangong%2C114%7C%E5%85%AC%E5%8F%B8%E5%8A%A8%E6%80%81%2CArticle%2Cgongsidongtai%2C110 | SQL: UPDATE `yge_category` SET `html_url`='html/Article/gonsixinwen/index.html' WHERE ( `id` = '2' ) [ RunTime:0.000365s ]
[ 2012-09-09T19:20:29+08:00 ] /admin.php?a=docat&m=Html&page=1&mod=%E5%AA%92%E4%BD%93%E8%81%9A%E7%84%A6%2CArticle%2Cmeitijujiao%2C98%7C%E5%85%AC%E5%8F%B8%E6%96%B0%E9%97%BB%2CArticle%2Cgonsixinwen%2C2%7C%E5%91%98%E5%B7%A5%E9%A3%8E%E9%87%87%2CArticle%2Cygfc%2C111%7C%E5%91%98%E5%B7%A5%E7%85%A7%E7%89%87%2CArticle%2Cyuangong%2C114%7C%E5%85%AC%E5%8F%B8%E5%8A%A8%E6%80%81%2CArticle%2Cgongsidongtai%2C110 | SQL: SHOW COLUMNS FROM `yge_article` [ RunTime:0.004767s ]
