[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run ContentReplace Behavior [ RunTime:0.001118s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run TokenBuild Behavior [ RunTime:0.001106s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000717s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run ShowRuntime Behavior [ RunTime:0.001463s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004906s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_end ] --START--
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run ShowPageTrace Behavior [ RunTime:0.001682s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_end ] --END-- [ RunTime:0.001876s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ app_begin ] --START--
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001753s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002047s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_template ] --START--
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run LocationTemplate Behavior [ RunTime:0.001127s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_template ] --END-- [ RunTime:0.001333s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_parse ] --START--
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run ParseTemplate Behavior [ RunTime:0.030645s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_parse ] --END-- [ RunTime:0.030862s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_filter ] --START--
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run ContentReplace Behavior [ RunTime:0.001133s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run TokenBuild Behavior [ RunTime:0.001431s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000716s ]
[ 2012-09-13T15:52:13+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run ShowRuntime Behavior [ RunTime:0.001569s ]
